time,fx,fy,fz,tx,ty,tz,px,py,pz
0,-0.00023638097435219052,0.006188414089046468,-0.019072064499967567,0.07240600156616495,-0.009958943061828762,0.030924618992099084,14.849478602409363,-0.00011599063873291016,0.0013340003788471222
10113,-0.0018569795006522227,0.0069078168844805,-0.017777672699653913,0.06502667804573292,0.004459772165567699,0.028176859876850813,14.849478602409363,-0.00011599063873291016,0.0013340003788471222
20062,-0.0009390560862425623,0.0067246552580220165,-0.021664170866125154,0.07738695908438586,-0.030995075743792455,0.023649230255971432,14.849478602409363,-0.00011599063873291016,0.0013340003788471222
30003,-0.0006610593193774328,0.008476253943740852,-0.018158852979244244,0.07305227358892807,-0.00406003594770965,0.018262979262322787,14.849478602409363,-0.00011599063873291016,0.0013340003788471222
40006,-0.0008680280750987812,0.006583744082077958,-0.01688211273901352,0.08299049250759083,-0.003141994093208922,0.021772064960227766,14.849478602409363,-0.00011599063873291016,0.0013340003788471222
50015,0.001184537330269908,0.006752203508540777,-0.018401462349520337,0.07860208115972966,-0.021850414003878882,0.018269642702268385,14.849478602409363,-0.00011599063873291016,0.0013340003788471222
60168,-0.002525221149921819,0.00789506526816619,-0.017012088564821504,0.07529661517587272,0.006877754511688039,0.015978391125614166,14.849478602409363,-0.00011599063873291016,0.0013340003788471222
70130,3.906564891309472e-05,0.007425103027671298,-0.01616717894509545,0.062127779821011586,-0.015285524995771738,0.035437390930058044,14.849478602409363,-0.00011599063873291016,0.0013340003788471222
80147,0.0008646681189534711,0.007159607263058421,-0.017741017210633814,0.0722109866096119,-0.016932211187629775,0.01853568759709745,14.849478602409363,-0.00011599063873291016,0.0013340003788471222
90327,-0.001938503730892993,0.004789004173613831,-0.017358841104248235,0.1208666230836215,-0.002632790406494223,0.02159766866084567,14.849478602409363,-0.00011599063873291016,0.0013340003788471222
100510,-0.0014011974865204557,0.006573959252498929,-0.016142796491943834,0.04934074724513948,-0.0028377803908270494,0.021320780170599463,14.849478602409363,-0.00011599063873291016,0.0022619999945163727
110609,-0.001818133612573991,0.007458191345855125,-0.017995042058304378,0.04758377041310524,-0.0027654559353003094,0.016583388381080866,14.849478602409363,-0.00011599063873291016,0.004234001040458679
120791,0.0003778352040053612,0.003727271683514166,-0.01680463206201921,0.017950653870258293,-0.013376071338203843,0.030129910434338214,14.849478602409363,-0.00011599063873291016,0.0073370011523365974
131098,-0.001479482778608876,0.00930649530556038,-0.01562651061099185,0.08430869588923429,-0.014540131264922707,0.022486711921285263,14.849478602409363,-0.00011599063873291016,0.011455000843852758
141642,-0.0005731020709873746,0.006852889557555031,-0.021023344520256337,0.07179741241976245,-0.014569466734378977,0.026367782422974884,14.849478602409363,-0.00011599063873291016,0.016762000741437078
152210,0.004464581301510062,0.008076163103803546,-0.0075493438831735205,0.0772803277494063,-0.004676142105012104,0.0490534737756132,14.849478602409363,-0.00011599063873291016,0.023287000600248575
162871,-0.006994873799384127,0.010445729538276494,-0.020244783461020432,0.08932126585066413,0.02086175007939417,-0.005109385177863857,14.849478602409363,-0.00011599063873291016,0.030972001142799854
173789,0.006935645634531973,0.006583968472704038,-0.02987405423395373,0.059031811242029164,-0.03305379263728625,0.06716955694236226,14.849478602409363,-0.00011599063873291016,0.039904000237584114
185186,-0.003163970871568278,0.00560535430598974,-0.013093841941544504,0.04168621745836276,0.0023114351058062255,0.016068994440104234,14.849478602409363,-0.00011599063873291016,0.050547000020742416
196637,0.0010279861032964632,0.002578196001686184,-0.017506483072676104,-0.009721969375348749,-0.0061692210610182485,0.025138876247073227,14.849478602409363,-0.00011599063873291016,0.06261100247502327
208061,0.0027957976582642097,0.009697041820994956,-0.009922825278007252,0.11989778110008587,-0.0477125411656516,0.012547746022979922,14.849478602409363,-0.00011599063873291016,0.07583500072360039
219655,0.0019807743853328397,0.01865517644081227,-0.020566287628748015,0.13361615275811545,-0.04756310630142835,0.024744376339134178,14.849478602409363,-0.00011599063873291016,0.09068300202488899
231392,-0.0002624680525067369,0.0073296020420636765,-0.008777314525769242,0.05109859258778471,-0.014075843403784205,0.03142301915876544,14.849478602409363,-0.00011599063873291016,0.10706799849867821
243500,0.0012497520515322158,0.017611902128122692,-0.008501196118406718,0.10497964263957726,-0.03170494026869264,0.04855330348003761,14.849478602409363,-0.00011599063873291016,0.1253960020840168
256086,-0.019544132784307777,-0.03299832848690465,-0.03772062311790947,-0.18456795909136048,0.29621670852333537,-0.08760643380857935,14.849478602409363,-0.00011599063873291016,0.14615999534726143
268605,-0.011001869101226358,0.010212239166609738,-0.015988398426735273,0.03785075497147261,-0.08588753896459522,-0.0034893348244935396,14.849478602409363,-0.00011599063873291016,0.16799700632691383
281693,-0.010108597898781824,0.014501981408372222,-0.03285220920465992,0.12178801985501764,0.08198041123211652,-0.022702802957368817,14.849478602409363,-0.00011599063873291016,0.19253099337220192
295408,-0.004843297321200701,-0.004813476171605435,-0.02549303279001336,-0.057350472079406245,0.04151018332362,-0.011465063014364674,14.849478602409363,-0.00011599063873291016,0.21993600204586983
